outcome,L,peak,dur,mean_eta,sharp
0,0.9594203112324019,4.063640590592547,62.788548615101035,4.014158952383567,0.5474411517676618
0,0.0,3.4141615654019115,9.68404346456774,2.940814367367642,2.1755744641584274
0,0.643967013701523,2.59114715417562,52.78726402909212,2.5179602838463824,1.0711506882018804
0,0.0,3.7445534458454075,20.237588118140387,3.1899204759985462,2.901332795526476
0,0.14493143533862335,5.365025405083813,10.060719542607032,4.560042417515866,1.49959957354391
0,5.713338515833642,5.870034846167323,15.269892689999947,5.2286609041613,1.235712645044083
1,307.5146001722712,5.670691760949423,54.22878244452025,5.377701374769016,2.0143576295915486
0,31.69424045300561,6.416229108168226,24.27563012957601,5.859932040094978,1.537815613286774
1,259.1232083798386,4.89034027406529,52.986744191124686,4.793428424551818,0.7528577129570473
1,440.8305560645324,5.715556451835589,77.12819561595818,5.66677684575788,0.46705736074820003
0,0.6283100864693952,3.732284349235024,6.13045838978125,3.2630879104588293,1.5912503734101673
0,7.918366359054438,6.645605727342686,18.80504161076829,5.769285545990981,2.0045349659793064
0,14.137312762325552,6.208821081284343,17.068621564039034,5.281914650246783,2.801906585317404
1,302.3544400862733,5.532962316848083,54.74813963682435,5.258159984391787,1.960903974146424
1,497.98069522186523,6.968196806789774,71.4647862323062,6.874634615095283,0.6973285650774903
1,566.6511381739333,7.6965160741614635,73.63210600009583,7.267192468911355,2.9735040535773445
1,175.05797997897656,3.6645896800870936,47.761132610969966,3.3606693381910278,2.8762995695037947
0,2.346730557955663,5.532878525328811,6.399715616090415,5.007458818947143,2.282728392544284
1,292.9046534227801,4.749975466172056,61.66445718877245,4.614310563950596,1.2753799557773822
0,0.605825615480417,4.608465248387448,27.793852175895392,4.249813037549032,1.5635408829735575
1,376.23724436323704,6.714333184708267,56.03466350799268,6.278757564154006,2.6190815790518327
0,26.006813200582023,7.045205651197448,23.410688841436915,6.725242257326404,0.7704485349825185
0,0.0,4.802127724131782,25.06863610403979,4.145039943549871,2.8419715617256887
1,442.1159880273788,6.685795899354729,66.12769019058743,6.585787069137493,0.7057340291658727
1,395.62512751526174,5.775834215748053,68.49662104885331,5.705330592269807,0.619436130977818
0,18.814166548698104,6.550560067411244,28.459767991030105,5.91294734267325,2.0351500865806997
1,471.6769853044806,7.631225809512618,61.829795236424104,7.278871083675005,2.052752803181536
1,483.02777622236937,8.417766625595767,57.38195725544155,8.130303349541974,1.407471119466964
0,18.19962206881062,5.509735950688117,20.355398632160018,4.7599889365613395,2.300098755246673
1,255.04023413998252,6.606333795191507,38.605407721205545,6.3302943114871555,1.1488170893846386
1,174.4860338775412,6.887714867883992,25.332967197845058,6.565351873510393,0.8497196929718394
0,0.0,4.358823565121301,60.40778833133629,4.079295064332218,2.7985721832875994
0,4.364900537467046,6.459735269284959,10.633140405277587,5.86522658402769,0.7246733941656915
0,13.00168469990417,5.474453983019077,9.993555858061516,4.674451084013454,1.9465141551086695
1,442.2707406731733,10.029466308744636,44.12900783742316,9.598979313085927,1.3594123481325664
1,380.8811810294218,5.776017331875622,65.9482088991626,5.579148075018021,1.6208461785957842
0,0.0,2.7087004685970197,8.12915439840273,2.3029582516098115,1.4197221685539385
1,488.37517905577795,6.382605607228189,76.51817120438002,6.16285938265312,1.9064596931185847
1,328.51223848143684,5.348913414984404,61.41833852311371,5.116373695154169,1.9321406239146683
1,261.2579904234248,5.365725490598652,48.70446906760957,5.109920365498988,1.676433202488167
0,0.4119824845426935,5.156579985770992,15.131577010834228,4.437992924795225,1.816859240258815
1,319.3281512394876,9.701222934490886,32.92103080025827,8.967079725707817,1.8084161489764847
1,476.3888557377649,7.208295528152013,66.34147949335748,6.788320041043113,2.802035256976711
1,529.8747890325509,7.231721708665027,73.27090427133784,7.1598338176125145,0.5151117611281011
1,535.7658152114442,7.228426941322976,74.11928204642004,7.148215136854445,0.5824504282907619
1,329.27027236464244,5.405650605951722,60.91259622456478,5.216960274694743,1.5379837002235748
1,395.78107237990275,6.456022984187653,61.30416099032924,6.353681029265863,0.7024953659904096
0,0.0,2.225585766785246,5.954108689625045,2.0663233593145582,2.665302400443557
1,285.10452399163216,6.616455887944184,43.090217618347,6.439068677761349,0.8300341956492288
0,8.228280549160386,5.868515861416949,21.2408575332529,5.584628242201757,0.7382730423156618
0,40.4082139050724,9.32196067907454,26.06591484742536,9.082623394389838,0.4881687261611826
1,303.3491230081507,8.587237905661834,35.34113250698424,7.799236887405492,2.3629333892165354
0,0.0,5.193589417455511,28.289722862941673,4.624480590625201,2.3135054980303855
1,294.54801757730644,5.873060983970267,50.18543217506122,5.414346510397081,2.832536319332683
0,0.0,4.804312803238861,14.878197321407628,4.103249327228482,2.9289109229793118
0,5.794309708264593,4.779544830422598,12.7320620414176,4.443565100663396,0.6409140102196444
1,353.5077486320945,4.793744864501402,73.86554308101518,4.613656461384138,1.9901901046073291
0,0.0,3.16650736815575,47.29884116510104,2.9516816951367115,2.3167292068071474
0,0.0,4.343748749537429,65.96415640645499,4.2100972089454265,1.4688417659518902
0,23.05122309897826,6.663896760383532,24.953138372295044,6.084649962849433,1.5776395046995022
1,350.31465520155484,4.639025658005685,75.51570908632297,4.514090766589277,1.4553170037248448
0,0.062344873589497314,2.440728929854994,37.46029489306924,2.3705408494551534,0.7635258806671998
1,395.2514756438137,7.1367713549732255,55.391798596864895,6.692460340683377,2.486072175570915
